Chromosome	Type	Start	End	Strand	ID	Alias	Start_Flanking	End_Flanking
chr19	pre_miRNA	53742528	53742587	+	Hsa-Mir-430-P33b_pre	MI0003166	53742498	53742617
chr19	pre_miRNA	53748650	53748710	+	Hsa-Mir-430-P31b_pre	MI0003176	53748620	53748740
chr19	pre_miRNA	53751226	53751285	+	Hsa-Mir-430-P39_pre	MI0003177	53751196	53751315
chr19	pre_miRNA	53752410	53752470	+	Hsa-Mir-430-P40a_pre	MI0003178	53752380	53752500
chr19	pre_miRNA	53754031	53754089	+	Hsa-Mir-430-P37c_pre	MI0003179	53754001	53754119
chr19	pre_miRNA	53756756	53756818	+	Hsa-Mir-430-P41b_pre	MI0003181	53756726	53756848
chr19	pre_miRNA	53758246	53758304	+	Hsa-Mir-430-P16b_pre	MI0006430	53758216	53758334
chr19	pre_miRNA	53761148	53761210	+	Hsa-Mir-430-P41a_pre	MI0003180	53761118	53761240
chr19	pre_miRNA	53762358	53762418	+	Hsa-Mir-430-P40b_pre	MI0003182	53762328	53762448
chr19	pre_miRNA	53787680	53787738	+	Hsa-Mir-430-P5_pre	MI0000779	53787650	53787768
chr19	pre_miRNA	53787895	53787953	+	Hsa-Mir-430-P6_pre	MI0000780	53787865	53787983
chr19	pre_miRNA	53788710	53788770	+	Hsa-Mir-430-P7_pre	MI0000781	53788680	53788800
chr19	pre_miRNA	53982325	53982384	+	Hsa-Mir-935-v1_pre	MI0005757	53982295	53982414
chr2	pre_miRNA	25328651	25328710	-	Hsa-Mir-1301_pre	MI0003815	25328621	25328740
chr2	pre_miRNA	55982984	55983042	-	Hsa-Mir-217-v1_pre	MI0000293	55982954	55983072
chr2	pre_miRNA	55988980	55989041	-	Hsa-Mir-216-P2b_pre	MI0000292	55988950	55989071
chr2	pre_miRNA	56000724	56000785	-	Hsa-Mir-216-P2a_pre	MI0005569	56000694	56000815
chr2	pre_miRNA	69103691	69103748	+	Hsa-Mir-3126_pre	MI0014143	69103661	69103778
chr2	pre_miRNA	96798288	96798345	+	Hsa-Mir-3127_pre	MI0014144	96798258	96798375
chr2	pre_miRNA	135665411	135665466	+	Hsa-Mir-128-P2_pre	MI0000447	135665381	135665496
chr2	pre_miRNA	176150329	176150390	+	Hsa-Mir-10-P1b-v1_pre	MI0000267	176150299	176150420
chr2	pre_miRNA	188297517	188297573	+	Hsa-Mir-561_pre	MI0003567	188297487	188297603
chr2	pre_miRNA	207109997	207110063	-	Hsa-Mir-2355_pre	MI0015873	207109967	207110093
chr2	pre_miRNA	218402657	218402713	+	Hsa-Mir-26-P2_pre	MI0000084	218402627	218402743
chr2	pre_miRNA	219001648	219001704	-	Hsa-Mir-375_pre	MI0000783	219001618	219001734
chr2	pre_miRNA	219294126	219294185	-	Hsa-Mir-153-P2_pre	MI0000463	219294096	219294215
chr2	pre_miRNA	239351732	239351793	-	Hsa-Mir-2467_pre	MI0017432	239351702	239351823
chr2	pre_miRNA	240456015	240456076	+	Hsa-Mir-149_pre	MI0000478	240455985	240456106
chr20	pre_miRNA	3917504	3917563	+	Hsa-Mir-103-P2_pre	MI0000108	3917474	3917593
chr20	pre_miRNA	34990408	34990466	+	Hsa-Mir-499_pre	MI0003183	34990378	34990496
chr20	pre_miRNA	45705109	45705171	-	Hsa-Mir-3617_pre	MI0016007	45705079	45705201
chr20	pre_miRNA	51452912	51452968	-	Hsa-Mir-3194_pre	MI0014239	51452882	51452998
chr20	pre_miRNA	58817626	58817681	-	Hsa-Mir-296_pre	MI0000747	58817596	58817711
chr20	pre_miRNA	62554312	62554372	+	Hsa-Mir-1-P3_pre	MI0000651	62554282	62554402
chr20	pre_miRNA	62564933	62564992	+	Hsa-Mir-133-P3-v1_pre	MI0000451	62564903	62565022
chr20	pre_miRNA	63178514	63178573	+	Hsa-Mir-124-P3-v1_pre	MI0000445	63178484	63178603
chr20	pre_miRNA	63941475	63941532	-	Hsa-Mir-1914_pre	MI0008335	63941445	63941562
chr21	pre_miRNA	16539101	16539159	+	Hsa-Mir-10-P2c_pre	MI0000101	16539071	16539189
chr21	pre_miRNA	16539838	16539904	+	Hsa-Let-7-P1c_pre	MI0000064	16539808	16539934
chr21	pre_miRNA	16590253	16590313	+	Hsa-Mir-10-P3c_pre	MI0000470	16590223	16590343
chr21	pre_miRNA	25573983	25574043	+	Hsa-Mir-155_pre	MI0000681	25573953	25574073
chr21	pre_miRNA	35720731	35720791	+	Hsa-Mir-459_pre	MI0003906	35720701	35720821
chr22	pre_miRNA	20033153	20033208	+	Hsa-Mir-185_pre	MI0000482	20033123	20033238
chr22	pre_miRNA	20086072	20086132	+	Hsa-Mir-1306_pre	MI0006443	20086042	20086162
chr22	pre_miRNA	20249145	20249200	-	Hsa-Mir-1286_pre	MI0006348	20249115	20249230
chr22	pre_miRNA	21652990	21653049	+	Hsa-Mir-130-P2a_pre	MI0005568	21652960	21653079
chr22	pre_miRNA	21653316	21653375	+	Hsa-Mir-130-P4a_pre	MI0000748	21653286	21653405
chr22	pre_miRNA	35335670	35335731	+	Hsa-Mir-3909_pre	MI0016413	35335640	35335761
chr22	pre_miRNA	40813892	40813947	-	Hsa-Mir-4766_pre	MI0017407	40813862	40813977
chr22	pre_miRNA	41900949	41901009	+	Hsa-Mir-33-P3_pre	MI0000091	41900919	41901039
chr22	pre_miRNA	45200958	45201016	-	Hsa-Mir-1249_pre	MI0006384	45200928	45201046
chr22	pre_miRNA	46091059	46091112	+	Hsa-Mir-3619_pre	MI0016009	46091029	46091142
chr22	pre_miRNA	46112752	46112820	+	Hsa-Let-7-P2a2_pre	MI0000062	46112722	46112850
chr22	pre_miRNA	46113691	46113765	+	Hsa-Let-7-P2b2_pre	MI0000063	46113661	46113795
chr3	pre_miRNA	10394499	10394552	-	Hsa-Mir-885_pre	MI0005560	10394469	10394582
chr3	pre_miRNA	35744490	35744547	+	Hsa-Mir-128-P1_pre	MI0000727	35744460	35744577
chr3	pre_miRNA	37969413	37969473	+	Hsa-Mir-26-P1_pre	MI0000083	37969383	37969503
chr3	pre_miRNA	44114234	44114294	+	Hsa-Mir-138-P1_pre	MI0000476	44114204	44114324
chr3	pre_miRNA	48316380	48316439	-	Hsa-Mir-2115_pre	MI0010634	48316350	48316469
chr3	pre_miRNA	49020159	49020221	-	Hsa-Mir-425_pre	MI0001448	49020129	49020251
chr3	pre_miRNA	49020631	49020694	-	Hsa-Mir-191_pre	MI0000465	49020601	49020724
chr3	pre_miRNA	52268280	52268357	-	Hsa-Let-7-P2c3_pre	MI0000433	52268250	52268387
chr3	pre_miRNA	52294233	52294292	-	Hsa-Mir-135-P1_pre	MI0000452	52294203	52294322
chr3	pre_miRNA	69048965	69049026	-	Hsa-Mir-3136_pre	MI0014158	69048935	69049056
chr3	pre_miRNA	120084575	120084635	-	Hsa-Mir-6529_pre		120084545	120084665
chr3	pre_miRNA	160404607	160404666	+	Hsa-Mir-15-P1b_pre	MI0000438	160404577	160404696
chr3	pre_miRNA	160404754	160404818	+	Hsa-Mir-15-P2b_pre	MI0000115	160404724	160404848
chr3	pre_miRNA	168551875	168551934	+	Hsa-Mir-551-P2_pre	MI0003575	168551845	168551964
chr3	pre_miRNA	188688794	188688855	+	Hsa-Mir-28_pre	MI0000086	188688764	188688885
chr3	pre_miRNA	189829937	189829996	+	Hsa-Mir-944_pre	MI0005769	189829907	189830026
chr4	pre_miRNA	7310459	7310517	+	Hsa-Mir-4798_pre	MI0017445	7310429	7310547
chr4	pre_miRNA	8005312	8005368	-	Hsa-Mir-95_pre	MI0000097	8005282	8005398
chr4	pre_miRNA	10078620	10078681	-	Hsa-Mir-3138_pre	MI0014161	10078590	10078711
chr4	pre_miRNA	20528299	20528362	+	Hsa-Mir-218-P2_pre	MI0000294	20528269	20528392
chr4	pre_miRNA	38868056	38868113	+	Hsa-Mir-574_pre	MI0003581	38868026	38868143
chr4	pre_miRNA	66276848	66276911	+	Hsa-Mir-1269_pre	MI0006406	66276818	66276941
chr4	pre_miRNA	75973882	75973940	-	Hsa-Mir-12463_pre		75973852	75973970
chr4	pre_miRNA	109488713	109488774	+	Hsa-Mir-576_pre	MI0003583	109488683	109488804
chr4	pre_miRNA	112647877	112647936	-	Hsa-Mir-92-P2a_pre	MI0000775	112647847	112647966
chr4	pre_miRNA	112648006	112648066	-	Hsa-Mir-430-P4_pre	MI0000774	112647976	112648096
chr4	pre_miRNA	112648186	112648246	-	Hsa-Mir-430-P3_pre	MI0000738	112648156	112648276
chr4	pre_miRNA	112648366	112648425	-	Hsa-Mir-430-P2_pre	MI0000773	112648336	112648455
chr4	pre_miRNA	112648489	112648547	-	Hsa-Mir-430-P1_pre	MI0000772	112648459	112648577
chr4	pre_miRNA	114656773	114656831	+	Hsa-Mir-577_pre	MI0003584	114656743	114656861
chr4	pre_miRNA	152489337	152489405	-	Hsa-Mir-3140_pre	MI0014163	152489307	152489435
chr5	pre_miRNA	14825932	14826007	-	Hsa-Mir-4637_pre	MI0017264	14825902	14826037
chr5	pre_miRNA	15935189	15935253	+	Hsa-Mir-887_pre	MI0005562	15935159	15935283
chr5	pre_miRNA	32394392	32394451	-	Hsa-Mir-579_pre	MI0003586	32394362	32394481
chr5	pre_miRNA	36147907	36147967	-	Hsa-Mir-580_pre	MI0003587	36147877	36147997
chr5	pre_miRNA	55170546	55170607	-	Hsa-Mir-34-P3c_pre	MI0001648	55170516	55170637
chr5	pre_miRNA	55170668	55170727	-	Hsa-Mir-34-P3b_pre	MI0003673	55170638	55170757
chr5	pre_miRNA	55172279	55172336	-	Hsa-Mir-34-P3a-v1_pre	MI0003823	55172249	55172366
chr5	pre_miRNA	55508859	55508916	-	Hsa-Mir-5687_pre	MI0019291	55508829	55508946
chr5	pre_miRNA	59703629	59703688	-	Hsa-Mir-582-v1_pre	MI0003589	59703599	59703718
chr5	pre_miRNA	88666865	88666924	-	Hsa-Mir-9-P2_pre	MI0000467	88666835	88666954
chr5	pre_miRNA	137647581	137647640	-	Hsa-Mir-874_pre	MI0005532	137647551	137647670
chr5	pre_miRNA	149062333	149062394	-	Hsa-Mir-584_pre	MI0003591	149062303	149062424
chr5	pre_miRNA	149428944	149428998	+	Hsa-Mir-143_pre	MI0000459	149428914	149429028
chr5	pre_miRNA	149430661	149430720	+	Hsa-Mir-145_pre	MI0000461	149430631	149430750
chr5	pre_miRNA	149732829	149732888	+	Hsa-Mir-378_pre	MI0000786	149732799	149732918
chr5	pre_miRNA	154347153	154347211	+	Hsa-Mir-1294_pre	MI0006356	154347123	154347241
chr5	pre_miRNA	160485372	160485428	+	Hsa-Mir-146-P4_pre	MI0000477	160485342	160485458
chr5	pre_miRNA	168560904	168560963	-	Hsa-Mir-103-P4_pre	MI0000109	168560874	168560993
chr5	pre_miRNA	168768168	168768231	-	Hsa-Mir-218-P4_pre	MI0000295	168768138	168768261
chr5	pre_miRNA	169263613	169263670	-	Hsa-Mir-585_pre	MI0003592	169263583	169263700
chr5	pre_miRNA	176367960	176368017	+	Hsa-Mir-1271_pre	MI0003814	176367930	176368047
chr5	pre_miRNA	180015318	180015382	-	Hsa-Mir-340_pre	MI0000802	180015288	180015412
chr6	pre_miRNA	30584332	30584417	+	Hsa-Mir-877_pre	MI0005561	30584302	30584447
chr6	pre_miRNA	33207855	33207917	+	Hsa-Mir-219-P3_pre	MI0000296	33207825	33207947
chr6	pre_miRNA	33698152	33698212	+	Hsa-Mir-3934_pre	MI0016590	33698122	33698242
chr6	pre_miRNA	52144363	52144422	+	Hsa-Mir-1-P2_pre	MI0000490	52144333	52144452
chr6	pre_miRNA	52148951	52149009	+	Hsa-Mir-133-P2-v1_pre	MI0000822	52148921	52149039
chr6	pre_miRNA	71376964	71377025	-	Hsa-Mir-30-P2b_pre	MI0000254	71376934	71377055
chr6	pre_miRNA	71403554	71403616	-	Hsa-Mir-30-P1b_pre	MI0000088	71403524	71403646
chr6	pre_miRNA	120015190	120015248	+	Hsa-Mir-3144-v1_pre	MI0014169	120015160	120015278
chr6	pre_miRNA	138435222	138435283	-	Hsa-Mir-3145_pre	MI0014170	138435192	138435313
chr6	pre_miRNA	166509364	166509422	-	Hsa-Mir-1913_pre	MI0008334	166509334	166509452
chr7	pre_miRNA	1022955	1023012	-	Hsa-Mir-339_pre	MI0000815	1022925	1023042
chr7	pre_miRNA	5495834	5495894	-	Hsa-Mir-589_pre	MI0003599	5495804	5495924
chr7	pre_miRNA	19705365	19705427	-	Hsa-Mir-3146_pre	MI0014172	19705335	19705457
chr7	pre_miRNA	25949922	25949981	-	Hsa-Mir-148-P1_pre	MI0000253	25949892	25950011
chr7	pre_miRNA	27169492	27169549	-	Hsa-Mir-196-P1_pre	MI0001150	27169462	27169579
chr7	pre_miRNA	29680747	29680808	-	Hsa-Mir-550-P2a_pre	MI0003762	29680717	29680838
chr7	pre_miRNA	30289815	30289876	+	Hsa-Mir-550-P1_pre	MI0003600	30289785	30289906
chr7	pre_miRNA	32733002	32733063	+	Hsa-Mir-550-P2b_pre	MI0003601	32732972	32733093
chr7	pre_miRNA	74191213	74191273	+	Hsa-Mir-590_pre	MI0003602	74191183	74191303
chr7	pre_miRNA	93482784	93482840	-	Hsa-Mir-653_pre	MI0003674	93482754	93482870
chr7	pre_miRNA	93483947	93484006	-	Hsa-Mir-489-v1_pre	MI0003124	93483917	93484036
chr7	pre_miRNA	100093571	100093630	-	Hsa-Mir-92-P2d_pre	MI0000082	100093541	100093660
chr7	pre_miRNA	100093776	100093837	-	Hsa-Mir-17-P4d_pre	MI0000095	100093746	100093867
chr7	pre_miRNA	100094002	100094063	-	Hsa-Mir-17-P1d_pre	MI0000734	100093972	100094093
chr7	pre_miRNA	127058109	127058169	-	Hsa-Mir-592_pre	MI0003604	127058079	127058199
chr7	pre_miRNA	128207876	128207941	+	Hsa-Mir-129-P2_pre	MI0000252	128207846	128207971
chr7	pre_miRNA	129770406	129770470	-	Hsa-Mir-96-P2_pre	MI0000272	129770376	129770500
chr7	pre_miRNA	129774698	129774761	-	Hsa-Mir-96-P1_pre	MI0000098	129774668	129774791
chr7	pre_miRNA	129774927	129774988	-	Hsa-Mir-96-P3-v1_pre	MI0000273	129774897	129775018
chr7	pre_miRNA	130496126	130496183	+	Hsa-Mir-335_pre	MI0000816	130496096	130496213
chr7	pre_miRNA	130876748	130876807	-	Hsa-Mir-29-P2b_pre	MI0000087	130876718	130876837
chr7	pre_miRNA	130877467	130877530	-	Hsa-Mir-29-P1b-v1_pre	MI0000105	130877437	130877560
chr7	pre_miRNA	136903205	136903264	+	Hsa-Mir-490_pre	MI0003125	136903175	136903294
chr7	pre_miRNA	151238449	151238508	+	Hsa-Mir-671_pre	MI0003760	151238419	151238538
chr7	pre_miRNA	157574349	157574409	-	Hsa-Mir-153-P1_pre	MI0000464	157574319	157574439
chr8	pre_miRNA	9903399	9903459	-	Hsa-Mir-124-P2-v1_pre	MI0000443	9903369	9903489
chr8	pre_miRNA	11035221	11035279	-	Hsa-Mir-598_pre	MI0003610	11035191	11035309
chr8	pre_miRNA	14853443	14853504	-	Hsa-Mir-383-v1_pre	MI0000791	14853413	14853534
chr8	pre_miRNA	22244975	22245028	-	Hsa-Mir-320-P1_pre	MI0000542	22244945	22245058
chr8	pre_miRNA	27701690	27701748	+	Hsa-Mir-3622_pre	MI0016013	27701660	27701778
chr8	pre_miRNA	41660442	41660505	-	Hsa-Mir-486_pre	MI0002470	41660412	41660535
chr8	pre_miRNA	64379173	64379231	+	Hsa-Mir-124-P1-v1_pre	MI0000444	64379143	64379261
chr8	pre_miRNA	91205494	91205552	+	Hsa-Mir-4661_pre	MI0017289	91205464	91205582
chr8	pre_miRNA	99536649	99536707	-	Hsa-Mir-599_pre	MI0003611	99536619	99536737
chr8	pre_miRNA	99536796	99536851	-	Hsa-Mir-875_pre	MI0005541	99536766	99536881
chr8	pre_miRNA	124821990	124822048	+	Hsa-Mir-4662_pre	MI0017293	124821960	124822078
chr8	pre_miRNA	134800532	134800591	-	Hsa-Mir-30-P2a_pre	MI0000441	134800502	134800621
chr8	pre_miRNA	134804879	134804940	-	Hsa-Mir-30-P1a_pre	MI0000255	134804849	134804970
chr8	pre_miRNA	140732587	140732643	-	Hsa-Mir-151_pre	MI0000809	140732557	140732673
chr8	pre_miRNA	143733089	143733144	-	Hsa-Mir-4664_pre	MI0017294	143733059	143733174
chr9	pre_miRNA	4850308	4850366	+	Hsa-Mir-101-P2-v1_pre	MI0000739	4850278	4850396
chr9	pre_miRNA	20716120	20716175	+	Hsa-Mir-491_pre	MI0003126	20716090	20716205
chr9	pre_miRNA	21512120	21512178	-	Hsa-Mir-31_pre	MI0000089	21512090	21512208
chr9	pre_miRNA	28863636	28863694	-	Hsa-Mir-876-v1_pre	MI0005542	28863606	28863724
chr9	pre_miRNA	28888888	28888946	-	Hsa-Mir-873-v1_pre	MI0005564	28888858	28888976
chr9	pre_miRNA	70809993	70810052	-	Hsa-Mir-204-P2_pre	MI0000284	70809963	70810082
chr9	pre_miRNA	83969771	83969834	-	Hsa-Mir-7-P2_pre	MI0000263	83969741	83969864
chr9	pre_miRNA	94175962	94176033	+	Hsa-Let-7-P2a1_pre	MI0000060	94175932	94176063
chr9	pre_miRNA	94176353	94176429	+	Hsa-Let-7-P2b1_pre	MI0000067	94176323	94176459
chr9	pre_miRNA	94178841	94178915	+	Hsa-Let-7-P2c1_pre	MI0000065	94178811	94178945
chr9	pre_miRNA	95085227	95085287	+	Hsa-Mir-23-P2_pre	MI0000439	95085197	95085317
chr9	pre_miRNA	95085463	95085525	+	Hsa-Mir-27-P2_pre	MI0000440	95085433	95085555
chr9	pre_miRNA	95086026	95086085	+	Hsa-Mir-24-P2_pre	MI0000080	95085996	95086115
chr9	pre_miRNA	109046232	109046293	-	Hsa-Mir-32_pre	MI0000090	109046202	109046323
chr9	pre_miRNA	114209449	114209506	+	Hsa-Mir-455-v1_pre	MI0003513	114209419	114209536
chr9	pre_miRNA	124692480	124692539	+	Hsa-Mir-181-P1b_pre	MI0000269	124692450	124692569
chr9	pre_miRNA	124693725	124693784	+	Hsa-Mir-181-P2b_pre	MI0000683	124693695	124693814
chr9	pre_miRNA	128244745	128244805	-	Hsa-Mir-199-P2-v1_pre	MI0000282	128244715	128244835
chr9	pre_miRNA	128392632	128392696	-	Hsa-Mir-219-P2_pre	MI0000740	128392602	128392726
chr9	pre_miRNA	128392634	128392698	+	Hsa-Mir-219-P2-as_pre	MI0017299	128392604	128392728
chr9	pre_miRNA	136670616	136670674	+	Hsa-Mir-126-P2-v1_pre	MI0000471	136670586	136670704
chrX	pre_miRNA	1293927	1293985	+	Hsa-Mir-3690_pre	MI0016091	1293897	1294015
chrX	pre_miRNA	8126980	8127039	+	Hsa-Mir-651_pre	MI0003666	8126950	8127069
chrX	pre_miRNA	45746180	45746242	-	Hsa-Mir-221-P2a_pre	MI0000298	45746150	45746272
chrX	pre_miRNA	45747033	45747096	-	Hsa-Mir-221-P1a_pre	MI0000299	45747003	45747126
chrX	pre_miRNA	50003167	50003225	+	Hsa-Mir-188-P1_pre	MI0003205	50003137	50003255
chrX	pre_miRNA	50003517	50003576	+	Hsa-Mir-188-P2_pre	MI0000484	50003487	50003606
chrX	pre_miRNA	50008443	50008504	+	Hsa-Mir-362-P3a-v1_pre	MI0003184	50008413	50008534
chrX	pre_miRNA	50008968	50009026	+	Hsa-Mir-362-P4_pre	MI0000762	50008938	50009056
chrX	pre_miRNA	50009735	50009794	+	Hsa-Mir-362-P5_pre	MI0003185	50009705	50009824
chrX	pre_miRNA	50010681	50010742	+	Hsa-Mir-362-P3b_pre	MI0015903	50010651	50010772
chrX	pre_miRNA	50013256	50013314	+	Hsa-Mir-188-P3_pre	MI0003684	50013226	50013344
chrX	pre_miRNA	50014612	50014671	+	Hsa-Mir-362-P6_pre	MI0003186	50014582	50014701
chrX	pre_miRNA	53556242	53556320	-	Hsa-Let-7-P2b3_pre	MI0000100	53556212	53556350
chrX	pre_miRNA	53557197	53557267	-	Hsa-Let-7-P2a3_pre	MI0000068	53557167	53557297
chrX	pre_miRNA	66018895	66018959	+	Hsa-Mir-223-v1_pre	MI0000300	66018865	66018989
chrX	pre_miRNA	70022863	70022919	+	Hsa-Mir-676_pre	MI0016436	70022833	70022949
chrX	pre_miRNA	74218392	74218448	-	Hsa-Mir-421-P2_pre	MI0003685	74218362	74218478
chrX	pre_miRNA	74218557	74218608	-	Hsa-Mir-374-P2_pre	MI0005566	74218527	74218638
chrX	pre_miRNA	74287125	74287187	-	Hsa-Mir-421-P1-v1_pre	MI0003516	74287095	74287217
chrX	pre_miRNA	74287295	74287346	-	Hsa-Mir-374-P1_pre	MI0000782	74287265	74287376
chrX	pre_miRNA	77005427	77005486	-	Hsa-Mir-325_pre	MI0000824	77005397	77005516
chrX	pre_miRNA	85903639	85903702	-	Hsa-Mir-361-v1_pre	MI0000760	85903609	85903732
chrX	pre_miRNA	110055348	110055409	+	Hsa-Mir-652_pre	MI0003667	110055318	110055439
chrX	pre_miRNA	114651556	114651610	+	Hsa-Mir-1912_pre	MI0008333	114651526	114651640
chrX	pre_miRNA	114652655	114652717	+	Hsa-Mir-1264_pre	MI0003758	114652625	114652747
chrX	pre_miRNA	114715250	114715325	+	Hsa-Mir-1298_pre	MI0003938	114715220	114715355
chrX	pre_miRNA	114763195	114763253	+	Hsa-Mir-1911_pre	MI0008332	114763165	114763283
chrX	pre_miRNA	114823465	114823543	+	Hsa-Mir-448_pre	MI0001637	114823435	114823573
chrX	pre_miRNA	118386404	118386461	+	Hsa-Mir-1277_pre	MI0006419	118386374	118386491
chrX	pre_miRNA	119646763	119646820	-	Hsa-Mir-766_pre	MI0003836	119646733	119646850
chrX	pre_miRNA	134169382	134169446	-	Hsa-Mir-92-P2c_pre	MI0000764	134169352	134169476
chrX	pre_miRNA	134169544	134169604	-	Hsa-Mir-92-P1c_pre	MI0000094	134169514	134169634
chrX	pre_miRNA	134169683	134169748	-	Hsa-Mir-19-P2c_pre	MI0000075	134169653	134169778
chrX	pre_miRNA	134169812	134169872	-	Hsa-Mir-17-P4c_pre	MI0001519	134169782	134169902
chrX	pre_miRNA	134170042	134170106	-	Hsa-Mir-17-P2c_pre	MI0001518	134170012	134170136
chrX	pre_miRNA	134170208	134170266	-	Hsa-Mir-17-P1c_pre	MI0000113	134170178	134170296
chrX	pre_miRNA	134540195	134540252	-	Hsa-Mir-450-P3_pre	MI0005531	134540165	134540282
chrX	pre_miRNA	134540358	134540414	-	Hsa-Mir-450-P2_pre	MI0001652	134540328	134540444
chrX	pre_miRNA	134540529	134540585	-	Hsa-Mir-450-P1_pre	MI0003187	134540499	134540615
chrX	pre_miRNA	134541364	134541422	-	Hsa-Mir-542-v1_pre	MI0003686	134541334	134541452
chrX	pre_miRNA	134546331	134546393	-	Hsa-Mir-15-P2c_pre	MI0003188	134546301	134546423
chrX	pre_miRNA	134546643	134546701	-	Hsa-Mir-15-P1c_pre	MI0001446	134546613	134546731
chrX	pre_miRNA	136550892	136550948	+	Hsa-Mir-934_pre	MI0005756	136550862	136550978
chrX	pre_miRNA	138667723	138667781	-	Hsa-Mir-504-v1_pre	MI0003189	138667693	138667811
chrX	pre_miRNA	139924159	139924217	-	Hsa-Mir-505-v1_pre	MI0003190	139924129	139924247
chrX	pre_miRNA	145992760	145992816	-	Hsa-Mir-506-P6e_pre	MI0022560	145992730	145992846
chrX	pre_miRNA	145994285	145994341	-	Hsa-Mir-506-P6d_pre	MI0005533	145994255	145994371
chrX	pre_miRNA	145994794	145994850	-	Hsa-Mir-506-P6c_pre	MI0005537	145994764	145994880
chrX	pre_miRNA	145996678	145996734	-	Hsa-Mir-506-P6b_pre	MI0005528	145996648	145996764
chrX	pre_miRNA	145997208	145997264	-	Hsa-Mir-506-P6a_pre	MI0005538	145997178	145997294
chrX	pre_miRNA	147189717	147189774	-	Hsa-Mir-506-P5c_pre	MI0006649	147189687	147189804
chrX	pre_miRNA	147199057	147199114	-	Hsa-Mir-506-P5b_pre	MI0006648	147199027	147199144
chrX	pre_miRNA	147213498	147213555	-	Hsa-Mir-506-P5a2_pre	MI0003191	147213468	147213585
chrX	pre_miRNA	147225860	147225917	-	Hsa-Mir-506-P5a1_pre	MI0003192	147225830	147225947
chrX	pre_miRNA	147230753	147230809	-	Hsa-Mir-506-P4_pre	MI0003193	147230723	147230839
chrX	pre_miRNA	147231002	147231059	-	Hsa-Mir-506-P2b_pre	MI0003194	147230972	147231089
chrX	pre_miRNA	147236945	147237002	-	Hsa-Mir-506-P3_pre	MI0003195	147236915	147237032
chrX	pre_miRNA	147250161	147250218	-	Hsa-Mir-506-P1e_pre	MI0014251	147250131	147250248
chrX	pre_miRNA	147255308	147255368	-	Hsa-Mir-506-P1d_pre		147255278	147255398
chrX	pre_miRNA	147258774	147258831	-	Hsa-Mir-506-P1c3_pre	MI0005530	147258744	147258861
chrX	pre_miRNA	147259661	147259717	-	Hsa-Mir-506-P1c2_pre	MI0005717	147259631	147259747
chrX	pre_miRNA	147260549	147260606	-	Hsa-Mir-506-P1c1_pre	MI0003196	147260519	147260636
chrX	pre_miRNA	147272342	147272399	-	Hsa-Mir-506-P1b_pre	MI0003197	147272312	147272429
chrX	pre_miRNA	147279266	147279323	-	Hsa-Mir-506-P1a3_pre	MI0003198	147279236	147279353
chrX	pre_miRNA	147281957	147282014	-	Hsa-Mir-506-P1a1_pre	MI0003200	147281927	147282044
chrX	pre_miRNA	147284655	147284712	-	Hsa-Mir-506-P1a2_pre	MI0003199	147284625	147284742
chrX	pre_miRNA	150228016	150228074	+	Hsa-Mir-2114_pre	MI0010633	150227986	150228104
chrX	pre_miRNA	151958583	151958651	-	Hsa-Mir-224_pre	MI0000301	151958553	151958681
chrX	pre_miRNA	151959639	151959699	-	Hsa-Mir-452-v1_pre	MI0001733	151959609	151959729
chrX	pre_miRNA	152392229	152392287	-	Hsa-Mir-105-P2_pre	MI0000111	152392199	152392317
chrX	pre_miRNA	152394422	152394480	-	Hsa-Mir-105-P1_pre	MI0000112	152394392	152394510
