species_column	common_name	scientific_name	genus	species	rank	parent_taxid	lineage	taxid
Mmr	Gray mouse lemur	Microcebus murinus	Microcebus	murinus	species	13149	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus	30608
Mmu	House mouse	Mus musculus	Mus	musculus	species	862507	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus	10090
Mom	Mossy chiton	Mopalia muscosa	Mopalia	muscosa	species	256103	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Polyplacophora; Neoloricata; Chitonida; Acanthochitonina; Mopaliidae; Mopalia	256104
Mun	Microcaecilia	Microcaecilia unicolor	Microcaecilia	unicolor	species	264009	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amphibia; Gymnophiona; Siphonopidae; Microcaecilia	1415580
Nag	Thorny-headed worm 1	Neoechinorhynchus agilis	Neoechinorhynchus	agilis	species	45088	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Acanthocephala; Eoacanthocephala; Neoechinorhynchida; Neoechinorhynchidae; Neoechinorhynchus	2593365
Neu	Tammar Wallaby	Notamacropus eugenii	Notamacropus	eugenii	species	1960649	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Metatheria; Diprotodontia; Macropodidae; Notamacropus	9315
Npo	Chambered Nautilus	Nautilus pompilius	Nautilus	pompilius	species	34572	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Cephalopoda; Nautiloidea; Nautilida; Nautilidae; Nautilus	34573
Nve	Starlet sea anemone	Nematostella vectensis	Nematostella	vectensis	species	45350	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Anthozoa; Hexacorallia; Actiniaria; Edwardsiidae; Nematostella	45351
Oan	Platypus	Ornithorhynchus anatinus	Ornithorhynchus	anatinus	species	9257	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Prototheria; Monotremata; Ornithorhynchidae; Ornithorhynchus	9258
Obi	California two-spot octopus	Octopus bimaculoides	Octopus	bimaculoides	species	6643	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Cephalopoda; Coleoidea; Octopodiformes; Octopoda; Incirrata; Octopodidae; Octopus	37653
Ocu	Rabbit	Oryctolagus cuniculus	Oryctolagus	cuniculus	species	9984	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Oryctolagus	9986
Ofu	Tubeworm	Owenia fusiformis	Owenia	fusiformis	species	6346	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Annelida; Polychaeta; Sedentaria; Canalipalpata; Sabellida; Oweniida; Oweniidae; Owenia	6347
Ovu	Common octopus	Octopus vulgaris	Octopus	vulgaris	species	6643	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Cephalopoda; Coleoidea; Octopodiformes; Octopoda; Incirrata; Octopodidae; Octopus	6645
Pab	Sumatran orangutan	Pongo abelii	Pongo	abelii	species	9599	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo	9601
Pau	Horseshoe worm	Phoronis australis	Phoronis	australis	species	33504	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Phoronida; Phoronidae; Phoronis	115415
Pbv	Burmese python	Python bivittatus	Python	bivittatus	species	37579	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Lepidosauria; Squamata; Bifurcata; Unidentata; Episquamata; Toxicofera; Serpentes; Henophidia; Pythonidae; Python	176946
Pca	Penis worm	Priapulus caudatus	Priapulus	caudatus	species	37847	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Scalidophora; Priapulida; Priapulimorpha; Priapulimorphida; Priapulidae; Priapulus	37621
Pcr	Tiger flatworm	Prostheceraeus crozeri	Prostheceraeus	crozeri	species	107735	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Platyhelminthes; Rhabditophora; Polycladida; Cotylea; Euryleptidae; Prostheceraeus	2291463
Pdu	Dumerils clam worm	Platynereis dumerilii	Platynereis	dumerilii	species	6358	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Annelida; Polychaeta; Errantia; Phyllodocida; Nereididae; Platynereis	6359
Pfl	Ptychodera	Ptychodera flava	Ptychodera	flava	species	63120	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Ptychoderidae; Ptychodera	63121
Ple	Thorny-headed worm 2	Pomphorhynchus laevis	Pomphorhynchus	laevis	species	60542	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Acanthocephala; Palaeacanthocephala; Echinorhynchida; Pomphorhynchidae; Pomphorhynchus	141832
Pma	Sea Lamprey	Petromyzon marinus	Petromyzon	marinus	species	7756	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Cyclostomata; Hyperoartia; Petromyzontiformes; Petromyzontidae; Petromyzon	7757
Pmi	Bat starfish	Patiria miniata	Patiria	miniata	species	35076	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Valvatacea; Valvatida; Asterinidae; Patiria	46514
Pve	Vernerds tusk shell	Pictodentalium vernedei	Pictodentalium	vernedei	species	2996713	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Scaphopoda; Dentaliida; Dentaliidae; Pictodentalium	2996714
Rno	Norway rat	Rattus norvegicus	Rattus	norvegicus	species	10114	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus	10116
Rph	Japanese carpet shell	Ruditapes philippinarum	Ruditapes	philippinarum	species	186463	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Heteroconchia; Euheterodonta; Imparidentia; Neoheterodontei; Venerida; Veneroidea; Veneridae; Ruditapes	129788
Sha	Tasmanian devil	Sarcophilus harrisii	Sarcophilus	harrisii	species	9304	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Metatheria; Dasyuromorphia; Dasyuridae; Sarcophilus	9305
Sko	Saccoglossus	Saccoglossus kowalevskii	Saccoglossus	kowalevskii	species	10222	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Hemichordata; Enteropneusta; Harrimaniidae; Saccoglossus	10224
Sma	Blood fluke	Schistosoma mansoni	Schistosoma	mansoni	species	6181	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Platyhelminthes; Rhabditophora; Neodermata; Trematoda; Digenea; Strigeidida; Schistosomatoidea; Schistosomatidae; Schistosoma	6183
Sme	Freshwater planarian	Schmidtea mediterranea	Schmidtea	mediterranea	species	55270	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Platyhelminthes; Rhabditophora; Tricladida; Continenticola; Geoplanoidea; Dugesiidae; Schmidtea	79327
Sne	Seison	Seison nebaliae	Seison	nebaliae	species	86132	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Gnathifera; Rotifera; Pararotatoria; Seisonacea; Seisonidae; Seison	104778
Snu	Peanut worm	Sipunculus nudus	Sipunculus	nudus	species	6445	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Annelida; Sipuncula; Sipunculidea; Golfingiida; Sipunculidae; Sipunculus	6446
Spt	Tuatara	Sphenodon punctatus	Sphenodon	punctatus	species	8507	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Lepidosauria; Sphenodontia; Sphenodontidae; Sphenodon	8508
Spu	Purple sea urchin	Strongylocentrotus purpuratus	Strongylocentrotus	purpuratus	species	7664	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Echinodermata; Eleutherozoa; Echinozoa; Echinoidea; Euechinoidea; Echinacea; Camarodonta; Echinidea; Strongylocentrotidae; Strongylocentrotus	7668
Sro	Roscoff worm	Symsagittifera roscoffensis	Symsagittifera	roscoffensis	species	90915	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Xenacoelomorpha; Acoelomorpha; Acoela; Convolutidae; Symsagittifera	84072
Sto	Cloudy Catshark	Scyliorhinus torazame	Scyliorhinus	torazame	species	7829	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Chondrichthyes; Elasmobranchii; Selachii; Galeomorphii; Galeoidea; Carcharhiniformes; Scyliorhinidae; Scyliorhinus	75743
Tca	Red flour beetle	Tribolium castaneum	Tribolium	castaneum	species	7069	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Altocrustacea; Allotriocarida; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Eumetabola; Endopterygota; Aparaglossata; Neuropteroidea; Coleoptera; Polyphaga; Cucujiformia; Tenebrionoidea; Tenebrionidae; Tenebrionidae incertae sedis; Tribolium	7070
Tgu	Zebra finch	Taeniopygia guttata	Taeniopygia	guttata	species	59728	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves; Australaves; Passeriformes; Passeroidea; Estrildidae; Estrildinae; Taeniopygia	59729
Tni	Pufferfish	Tetraodon nigroviridis	Tetraodon	nigroviridis	species	47144	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Osteoglossocephalai; Clupeocephala; Euteleosteomorpha; Neoteleostei; Eurypterygia; Ctenosquamata; Acanthomorphata; Euacanthomorphacea; Percomorphaceae; Eupercaria; Tetraodontiformes; Tetraodontoidei; Tetradontoidea; Tetraodontidae; Tetraodon	99883
Tur	Two-spotted spider mite	Tetranychus urticae	Tetranychus	urticae	species	32263	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Chelicerata; Arachnida; Acari; Acariformes; Trombidiformes; Prostigmata; Eleutherengona; Raphignathae; Tetranychoidea; Tetranychidae; Tetranychus	32264
War	Wirenia (Solenogaster)	Wirenia argentea	Wirenia	argentea	species	669228	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Aplacophora; Solenogastres; Pholidoskepia; Gymnomeniidae; Wirenia	669229
Xbo	Xenoturbella	Xenoturbella bocki	Xenoturbella	bocki	species	110815	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Xenacoelomorpha; Xenoturbellida; Xenoturbellidae; Xenoturbella	242395
Xla	African clawed frog	Xenopus laevis	Xenopus	laevis	species	262014	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	8355
Xtr	Tropical clawed frog	Xenopus tropicalis	Xenopus	tropicalis	species	8363	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana	8364
